issn_scielo	year	scopus_id	citescore	sjr	sjr_best_quartile	cites_by_doc_2years	h_index	snip	ipp
0325-0075	2016	14512	0.24	0.183	Q3	0.26	15	0.255239140620359	0.329268292682927
1851-2372	2007	21100211763		0.122	Q4	0	6	0	0
1851-2372	2008	21100211763		0.527	Q2	2	6	0.63302752293578	1
1851-2372	2009	21100211763		1.135	Q1	0	6	9.425884391885	3
1851-2372	2012	21100211763	0.09	0.119	Q4	0.19	6	0.167603817553414	0.129032258064516
1851-2372	2013	21100211763	0.24	0.185	Q4	0.36	6	0.723541480242889	0.296875
1851-2372	2014	21100211763	0.33	0.187	Q4	0.37	6	0.580779779286564	0.372340425531915
1851-2372	2015	21100211763	0.23	0.175	Q4	0.15	6	0.30497345064064	0.23943661971831
1851-2372	2016	21100211763	0.46	0.31	Q3	0.41	6	0.601565342143876	0.421383647798742
0011-6793	1999	17944		0.164	Q4	0.08	17	0.233146969989075	0.0793650793650794
0011-6793	2000	17944		0.198	Q4	0.24	17	0.728936580660719	0.155172413793103
0011-6793	2001	17944		0.231	Q3	0.14	17	0.521326926249794	0.189655172413793
0011-6793	2002	17944		0.323	Q3	0.21	17	0.969474884945286	0.3125
0011-6793	2003	17944		0.1	Q4	0.05	17	0.38135593220339	0.0338983050847458
0011-6793	2004	17944		0.139	Q4	0.19	17	0.606583596621538	0.153846153846154
0011-6793	2005	17944		0.216	Q3	0.19	17	0.64918816266353	0.1875
0011-6793	2006	17944		0.203	Q3	0.29	17	0.516628997373241	0.25
0011-6793	2007	17944		0.169	Q4	0.2	17	0.550047219910978	0.206349206349206
0011-6793	2008	17944		0.162	Q4	0.15	17	0.103937096066314	0.117647058823529
0011-6793	2009	17944		0.273	Q3	0.37	17	0.400986315212608	0.256756756756757
0011-6793	2010	17944		0.17	Q4	0.11	17	0.31487781331717	0.213333333333333
0011-6793	2011	17944	0.12	0.119	Q4	0.13	17	0.41903189236288	0.16
0011-6793	2012	17944	0.17	0.175	Q4	0.23	17	0.26881119232853	0.173913043478261
0011-6793	2013	17944	0.27	0.163	Q4	0.37	17	0.4431567747535	0.253968253968254
0011-6793	2014	17944	0.6	0.232	Q3	0.64	17	0.945472397677464	0.612903225806452
0011-6793	2015	17944	0.45	0.259	Q3	0.48	17	0.407034053740434	0.421875
0011-6793	2016	17944	0.61	0.277	Q3	0.54	17	0.752132356716479	0.517857142857143
0073-3407	1999	74433		0.11	Q4	0	7		
0073-3407	2009	74433		0.102	Q4	0	7	0	0
0073-3407	2010	74433		0.11	Q4	0.14	7	0.139120095124851	0.0344827586206897
